Title,Date,Location,Description,Tags,latitude,longitude
General Services,2011-03-17,"New York, NY","Moving, lifting and rearranging",General,,
Health Insurance Claims Manager,2011-02-24,"New York, NY","Position entails completing mental health claim forms monthly, tracking payments and interfacing with insurance companies regarding payments, etc.",Helping Neighbors in Need,,
Web designer,2011-02-01,"5 22nd St
New York, NY 10010
(40.74053152272978, -73.98923530081726), NY 10010.0",Build a website for an Afghan business,Strengthening Communities,,
Math Tutor,2011-09-24,"New York, NY",Tutors wanted to help students in grades 3-5 learn basic math skills.,Education,,
Arts Volunteer Opportunity,2011-04-12,"165 105th Street
New York, NY 10025
(40.79937645675807, -73.96519802101764), NY 10025.0","Arts management, creative writing and fine art.",Strengthening Communities,,
Stage Design,2011-10-15,"New York, NY",Helping children 6-12 design a stage for a December 3 production.,Strengthening Communities,,
Special Events Assistant,2011-09-14,"120 106th Street
New York, NY 10025
(40.7994834845182, -73.96352009942227), NY 10025.0","Jewish Home Lifecare is seeking volunteers to assist with event set-up and transport of residents to special events activiteis on holidays, weekends, and during evenings",Helping Neighbors in Need,,
Row New York Afterschool Volunteer Tutor for Middle School,2011-03-01,"10 27 46th Ave
Long Island City, NY 11101
(40.74570244980828, -73.93866902925225), NY 11101.0","Volunteer your time to work alongside an all-girls, middle school rowing team, helping them succeed in academics during after-school time.",Education,40.74673,-73.951921
Computer Teacher,2011-04-11,"105 Mosco Street
New York, NY 10013
(40.714478163541, -73.99923576178304), NY 10013.0","Teacher of Basic Computer Skills such as browsing, MS word, Excel, etc.",Helping Neighbors in Need,40.714459,-73.999347
Garden Crew,2011-07-07,"80 Van Cortlandt Park
Bronx, NY 10463
(40.88465843017383, -73.88990186467265), NY 10463.0",Help care for our vegetable garden beds where all our produce will be donated to local food pantries.,Environment,40.895865,-73.892294
Crowdfunding for Professionals,2011-06-05,"407 Broome Street
New York, NY 10013
(40.720962275372244, -73.99794973128115), NY 10013.0","Crowdfunding is people pooling their money together, usually via the Internet, to support an idea or effort initiated by a person or organization. Crowdfunders can build up and nurture a community of like-minded individuals who genuinely want to see one another succeed.",Strengthening Communities,40.720942,-73.997929
Vision and Mission Analysis for Professionals,2011-06-06,"407 Broome Street
New York, NY 10013
(40.720962275372244, -73.99794973128115), NY 10013.0","A vision and mission analysis helps an organization identify how it wants to change the world, who it wants to serve, and how it will accomplish its goals. Organizations often revise their vision, mission, and aspirations at strategic milestones such as new leadership.",Strengthening Communities,40.720942,-73.997929
Make a difference in a young person's life:  Become a Middle School Mentor Today!,2011-03-01,"65 95th Street
New York, NY 10025
(40.79190979026373, -73.96735479584436), NY 10025.0","Work in a supported mentoring program with middle school students in Brooklyn, 3 days per week during the school day.  Individuals interested in a career in teaching are encouraged to apply.",Education,,
Beach Clean Up,2011-09-17,"Oriental Boulevard Brooklyn
, NY 11235
(40.57836127779629, -73.93735341294692), NY 11235.0",Lend your hands for the environment. Help keep New York coasts clean and free of debris. Celebrate the earth.,Environment,,
Volunteers Needed For Rise Up & Stay Put! Home Rescue Fair ,2011-07-30,"New York, NY","Building on successful events last summer and earlier this year in the Bronx and in Queens, the Center for NYC Neighborhoods (CNYCN) and its partners are now organizing the last 2011 Rise Up & Stay Put! Home Rescue Fair. It will be on Saturday, July 30 at Long Island University in Brooklyn.",General,,
Outreach and Marketing Assistant,2011-04-04,"250 57th Street
New York, NY 10107
(40.766393521786576, -73.98218601253214), NY 10107.0","NIP is looking for a person who would like to assist our Director of Communications and Community Outreach in informing the community of the availability of our services by communicating directly with patients and with referal sources through marketing, media and special events.",Strengthening Communities,,
Thanksgiving Feeding of the Needy 2011,2011-11-22,"852 JFK Station
New York, NY 10116
(40.8110019996426, -73.95309800037239), NY 10116.0",Volunteers to pack boxes of Turkey Dinners on Nov.22,Strengthening Communities,,
Join the 2011/2012 Penny Harvest Leader Pin Volunteer Day!,2011-08-06,"570 Columbus Avenue
New York, NY 10024
(40.787638010624505, -73.97132979921389), NY 10024.0","Be a part of the 2011/2012 Penny Harvest!   Join us and hundreds of amazing volunteers to make Penny Harvest Leader Pin. The pins -- made out of pennies -- will be given to 30,000 Penny Harvest Leaders across the country and will inspire the 2011/2012 Penny Harvest campaign.",Education,40.787556,-73.971407
Museum Membership Department Volunteer,2011-01-27,"1109 Fifth Avenue
New York, NY 10128
(40.78553359707598, -73.95746225352207), NY 10128.0",This position involves membership recruitment and and encouraging greater membership support for the Museum.,Strengthening Communities,40.785298,-73.957263
Bowling Fun at Harlem Lanes ,2011-01-29,"441 Manhattan Avenue
New York, NY 10026
(40.80669464442542, -73.95561864336202), NY 10026.0",Please join us for a bowling event with the PAL kids! The group consists of children ranging from 9-13 years. We will have 2 hours of some 'healthy competition' and then grab some pizza afterwards. It's will be a fun day for all! For volunteers who wish to participate in bowling the cost is $13.50.,Strengthening Communities,40.806654,-73.955649
Bike New York Volunteer,2011-03-22,"475 Riverside Drive
New York City, NY 11205
(40.693882095282504, -73.96433450773128), NY 11205.0","Bike New York is looking for intern to help with event organization, and behind the scenes work.",Health,,
Walkathon Feasibility Analyst,2011-02-03,"1 Centre Street
New York, NY 10007
(40.71320112625938, -74.00400216853836), NY 10007.0",":  Big Apple Greeter is looking for an experienced volunteer to perform a feasibility study to determine whether a walkathon is right for us.  This person will work under the guidance of the Executive Director, the Development Director, and the Director of Volunteers and Programs.",Strengthening Communities,40.713001,-74.004181
Fashion Workshop Volunteer,2011-02-07,"283 Adams Street
Brooklyn, NY 11201
(40.6949894054037, -73.98858815746328), NY 11201.0",Girls Inc. seeks a volunteer to support a fashion workshop for high school girls at The Urban Assembly Institute of Math and Science for Young Women in Downtown Brooklyn.,Education,40.694682,-73.988853
Queens Stop 'N' Swap,2011-02-12,"New York, NY","Stop 'N' Swap reduces NYC's waste by finding new homes for unwanted, but usable items.  Help sort, fold and display items to make this a fun free reuse experience for all.",Environment,,
